30,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,153.44,-1.08,-0.00,0.00,-158.50,0.00,0.00,0.88,4.80,0.00,0.00,0.00,1.00,0
31,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,147.49,-1.08,-0.00,0.00,-187.59,0.00,0.00,0.88,9.65,0.00,0.00,0.00,1.00,0
32,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,142.26,-1.08,-0.00,0.00,-51.52,0.00,0.00,0.88,-7.88,0.00,0.00,0.00,1.00,0
33,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,137.03,-1.08,-0.00,0.00,-56.75,0.00,0.00,0.88,-7.91,0.00,0.00,0.00,1.00,0
34,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,137.03,-1.08,-0.00,0.00,-82.92,0.00,0.00,0.88,-9.02,0.00,0.00,0.00,1.00,0
35,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,140.35,-1.08,-0.00,0.00,-106.17,0.00,0.00,0.88,-6.85,0.00,0.00,0.00,1.00,0
36,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,137.03,-1.08,-0.00,0.00,-111.71,0.00,0.00,0.88,-6.96,0.00,0.00,0.00,1.00,0
37,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,137.73,-1.08,-0.00,0.00,-137.57,0.00,0.00,0.88,-2.99,0.00,0.00,0.00,1.00,0
38,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,142.97,-1.08,-0.00,0.00,-158.50,0.00,0.00,0.88,8.89,0.00,0.00,0.00,1.00,0
39,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,142.26,-1.08,-0.00,0.00,-187.59,0.00,0.00,0.88,11.04,0.00,0.00,0.00,1.00,0
40,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,129.18,-1.08,-0.00,0.00,-54.14,0.00,0.00,0.88,-7.10,0.00,0.00,0.00,1.00,0
41,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,129.88,-1.08,-0.00,0.00,-74.76,0.00,0.00,0.88,-8.74,0.00,0.00,0.00,1.00,0
42,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,126.56,-1.08,-0.00,0.00,-80.31,0.00,0.00,0.88,-8.15,0.00,0.00,0.00,1.00,0
43,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,127.27,-1.08,-0.00,0.00,-106.17,0.00,0.00,0.88,-3.53,0.00,0.00,0.00,1.00,0
44,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,134.41,-1.08,-0.00,0.00,-127.41,0.00,0.00,0.88,-5.33,0.00,0.00,0.00,1.00,0
45,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,124.65,-1.08,-0.00,0.00,-163.73,0.00,0.00,0.88,17.28,0.00,0.00,0.00,1.00,0
46,Tree3,0.10,0.10,0.10,-0.00,1.08,0.00,118.71,-1.08,-0.00,0.00,-54.14,0.00,0.00,0.88,-5.28,0.00,0.00,0.00,1.00,0
47,Tree1,0.10,0.10,0.10,-0.00,1.08,0.00,121.33,-1.08,-0.00,0.00,-75.07,0.00,0.00,0.88,-6.89,0.00,0.00,0.00,1.00,0
48,Tree2,0.10,0.10,0.10,-0.00,1.08,0.00,118.71,-1.08,-0.00,0.00,-80.31,0.00,0.00,0.88,-5.68,0.00,0.00,0.00,1.00,0
